,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
10245,0,1,2,3,3,0,1,3,0,0.20051686824080206,1.2340389577975237,0.8330052213159196,2___2___4,simulated,simulated,simulated
13918,0,1,0,2,3,1,2,4,3,0.20050674895281273,1.287409056579126,0.8863955586735006,2___2___5,simulated,simulated,simulated
7658,0,1,2,1,1,3,2,3,1,0.2005045830063068,1.141249088595354,0.7402399225827403,2___2___4,simulated,simulated,simulated
12927,0,1,2,1,1,3,2,0,4,0.20050343354416955,1.1207650042664021,0.719758137178063,2___2___5,simulated,simulated,simulated
16195,0,1,1,2,0,0,0,3,4,0.2005021274614085,1.082830413570451,0.681826158647634,2___2___5,simulated,simulated,simulated
3490,0,1,2,2,1,3,0,3,0,0.2004995045364244,1.1747554684479935,0.7737564593751447,2___3___4,simulated,simulated,simulated
11653,0,1,2,1,3,2,2,0,4,0.2004873328137664,1.235547178336445,0.8345725127089121,2___2___5,simulated,simulated,simulated
10135,0,1,2,0,3,0,1,2,1,0.20043693899080028,1.034271721655071,0.6333978436734704,2___2___4,simulated,simulated,simulated
7612,0,1,2,3,0,3,0,2,0,0.20043572428169765,1.162861747589172,0.7619902990257768,2___2___4,simulated,simulated,simulated
16407,0,0,1,2,3,4,0,2,2,0.2004346457142867,1.0648345845835634,0.66396529315499,2___2___5,simulated,simulated,simulated
4662,0,1,0,2,2,0,3,2,2,0.20043409745023855,1.1889613603174407,0.7880931654169636,2___3___4,simulated,simulated,simulated
10514,0,1,1,2,1,2,1,3,2,0.20042736159055585,1.1449198582351057,0.744065135053994,2___3___4,simulated,simulated,simulated
11216,0,0,1,2,0,3,1,4,2,0.20042044504182166,1.0496222202855534,0.6487813302019101,2___2___5,simulated,simulated,simulated
9849,0,0,1,2,0,3,1,1,1,0.20041591982321494,0.9894964400128746,0.5886646003664447,2___3___4,simulated,simulated,simulated
15450,0,1,0,2,3,2,1,4,3,0.20041375388616078,1.2926825190717202,0.8918550112993986,2___1___5,simulated,simulated,simulated
7311,0,1,2,3,2,0,3,0,1,0.20040030838722633,1.2751519131955686,0.874351296421116,2___2___4,simulated,simulated,simulated
9996,0,0,1,2,3,3,3,1,2,0.20039453091410886,1.1456377052477666,0.7448486434195489,2___1___4,simulated,simulated,simulated
12469,0,0,1,1,1,2,3,2,4,0.20037744868071505,1.045952978251938,0.6451980808905078,2___1___5,simulated,simulated,simulated
1141,0,1,1,0,1,0,2,0,1,0.20037368455532067,0.8409459110309591,0.4401985419203177,2___2___3,simulated,simulated,simulated
7213,0,1,1,2,1,2,2,2,3,0.20036668208978536,1.117956657481074,0.7172232933015033,2___3___4,simulated,simulated,simulated
3298,0,1,1,0,2,3,0,2,3,0.20036010299000295,0.9290049844944076,0.5282847785144017,2___2___4,simulated,simulated,simulated
