,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],MI_Objective,grammar_complexity,Language,Area,LangCategory
17952,0,1,2,2,2,1,3,4,0,0.3724225116211928,1.5067053953343108,0.7618603720919253,2___1___5,simulated,simulated,simulated
3447,0,0,1,0,1,1,2,2,3,0.37241618724188097,1.1089180620864199,0.3640856876026579,2___2___4,simulated,simulated,simulated
19928,0,1,2,3,4,1,4,5,1,0.3724156724610457,1.6355656636074383,0.8907343186853469,2___2___6,simulated,simulated,simulated
13357,0,1,2,2,2,3,4,1,4,0.3723833865666628,1.4599293608918222,0.7151625877584966,2___2___5,simulated,simulated,simulated
20312,0,1,2,3,4,0,1,2,5,0.3723797896335479,1.617719744113164,0.8729601648460683,2___1___6,simulated,simulated,simulated
7459,0,1,2,0,0,2,3,3,2,0.37237628500696607,1.1494015505380686,0.40464898052413645,2___3___4,simulated,simulated,simulated
16082,0,1,2,2,3,3,4,1,2,0.3723679756725522,1.57303371017833,0.8282977588332257,2___2___5,simulated,simulated,simulated
12089,0,1,0,2,3,0,4,1,3,0.37232498061346764,1.57303371017833,0.8283837489513948,2___3___5,simulated,simulated,simulated
19017,0,1,0,2,3,4,1,5,1,0.3723223242754221,1.5788552895114198,0.8342106409605756,2___1___6,simulated,simulated,simulated
20554,0,1,2,3,4,3,1,5,1,0.37232232427542167,1.5788552895114198,0.8342106409605765,2___1___6,simulated,simulated,simulated
19437,0,1,2,2,2,3,4,0,5,0.37231319354276615,1.499776896584299,0.7551505094987667,2___1___6,simulated,simulated,simulated
